model,size,subtask,accuracy,n_passed,n_total,ft_steps
d24-byte-l-early,3000,spell,0.520000,52,100,6
d24-byte-l-early,3000,spell_inverse,0.110000,11,100,6
d24-byte-l-early,3000,contains_char,0.520000,52,100,6
d24-byte-l-early,3000,orth,0.770000,77,100,6
d24-byte-l-early,3000,ins_char,0.000000,0,100,6
d24-byte-l-early,3000,del_char,0.030000,3,100,6
d24-byte-l-early,3000,sub_char,0.130000,13,100,6
d24-byte-l-early,3000,swap_char,0.000000,0,100,6
d24-byte-l,3000,spell,0.900000,90,100,6
d24-byte-l,3000,spell_inverse,0.000000,0,100,6
d24-byte-l,3000,contains_char,0.520000,52,100,6
d24-byte-l,3000,orth,0.750000,75,100,6
d24-byte-l,3000,ins_char,0.000000,0,100,6
d24-byte-l,3000,del_char,0.000000,0,100,6
d24-byte-l,3000,sub_char,0.130000,13,100,6
d24-byte-l,3000,swap_char,0.000000,0,100,6
d24-byte-l-ext,3000,spell,0.480000,48,100,6
d24-byte-l-ext,3000,spell_inverse,0.900000,90,100,6
d24-byte-l-ext,3000,contains_char,0.520000,52,100,6
d24-byte-l-ext,3000,orth,0.650000,65,100,6
d24-byte-l-ext,3000,ins_char,0.000000,0,100,6
d24-byte-l-ext,3000,del_char,0.030000,3,100,6
d24-byte-l-ext,3000,sub_char,0.050000,5,100,6
d24-byte-l-ext,3000,swap_char,0.000000,0,100,6
d24-byte-l-early,30000,spell,1.000000,100,100,46
d24-byte-l-early,30000,spell_inverse,1.000000,100,100,46
d24-byte-l-early,30000,contains_char,0.520000,52,100,46
d24-byte-l-early,30000,orth,0.980000,98,100,46
d24-byte-l-early,30000,ins_char,0.990000,99,100,46
d24-byte-l-early,30000,del_char,1.000000,100,100,46
d24-byte-l-early,30000,sub_char,0.970000,97,100,46
d24-byte-l-early,30000,swap_char,1.000000,100,100,46
d24-byte-l,30000,spell,1.000000,100,100,46
d24-byte-l,30000,spell_inverse,1.000000,100,100,46
d24-byte-l,30000,contains_char,0.520000,52,100,46
d24-byte-l,30000,orth,0.950000,95,100,46
d24-byte-l,30000,ins_char,1.000000,100,100,46
d24-byte-l,30000,del_char,1.000000,100,100,46
d24-byte-l,30000,sub_char,1.000000,100,100,46
d24-byte-l,30000,swap_char,1.000000,100,100,46
d24-byte-l-ext,30000,spell,1.000000,100,100,46
d24-byte-l-ext,30000,spell_inverse,1.000000,100,100,46
d24-byte-l-ext,30000,contains_char,0.520000,52,100,46
d24-byte-l-ext,30000,orth,0.930000,93,100,46
d24-byte-l-ext,30000,ins_char,0.990000,99,100,46
d24-byte-l-ext,30000,del_char,1.000000,100,100,46
d24-byte-l-ext,30000,sub_char,0.960000,96,100,46
d24-byte-l-ext,30000,swap_char,1.000000,100,100,46
d24-byte-l-early,10000,spell,1.000000,100,100,16
d24-byte-l-early,10000,spell_inverse,0.950000,95,100,16
d24-byte-l-early,10000,contains_char,0.520000,52,100,16
d24-byte-l-early,10000,orth,0.900000,90,100,16
d24-byte-l-early,10000,ins_char,0.190000,19,100,16
d24-byte-l-early,10000,del_char,0.980000,98,100,16
d24-byte-l-early,10000,sub_char,0.930000,93,100,16
d24-byte-l-early,10000,swap_char,0.260000,26,100,16
d24-byte-l,10000,spell,1.000000,100,100,16
d24-byte-l,10000,spell_inverse,1.000000,100,100,16
d24-byte-l,10000,contains_char,0.520000,52,100,16
d24-byte-l,10000,orth,0.920000,92,100,16
d24-byte-l,10000,ins_char,0.080000,8,100,16
d24-byte-l,10000,del_char,0.970000,97,100,16
d24-byte-l,10000,sub_char,0.940000,94,100,16
d24-byte-l,10000,swap_char,0.370000,37,100,16
d24-byte-l-ext,10000,spell,1.000000,100,100,16
d24-byte-l-ext,10000,spell_inverse,0.980000,98,100,16
d24-byte-l-ext,10000,contains_char,0.520000,52,100,16
d24-byte-l-ext,10000,orth,0.910000,91,100,16
d24-byte-l-ext,10000,ins_char,0.000000,0,100,16
d24-byte-l-ext,10000,del_char,0.840000,84,100,16
d24-byte-l-ext,10000,sub_char,0.890000,89,100,16
d24-byte-l-ext,10000,swap_char,0.080000,8,100,16
d24-byte-l-early,100000,spell,1.000000,100,100,154
d24-byte-l-early,100000,spell_inverse,1.000000,100,100,154
d24-byte-l-early,100000,contains_char,0.520000,52,100,154
d24-byte-l-early,100000,orth,0.980000,98,100,154
d24-byte-l-early,100000,ins_char,1.000000,100,100,154
d24-byte-l-early,100000,del_char,1.000000,100,100,154
d24-byte-l-early,100000,sub_char,0.980000,98,100,154
d24-byte-l-early,100000,swap_char,1.000000,100,100,154
d24-byte-l,100000,spell,1.000000,100,100,154
d24-byte-l,100000,spell_inverse,1.000000,100,100,154
d24-byte-l,100000,contains_char,0.520000,52,100,154
d24-byte-l,100000,orth,0.980000,98,100,154
d24-byte-l,100000,ins_char,1.000000,100,100,154
d24-byte-l,100000,del_char,0.980000,98,100,154
d24-byte-l,100000,sub_char,1.000000,100,100,154
d24-byte-l,100000,swap_char,1.000000,100,100,154
d24-byte-l-ext,100000,spell,1.000000,100,100,154
d24-byte-l-ext,100000,spell_inverse,0.990000,99,100,154
d24-byte-l-ext,100000,contains_char,1.000000,100,100,154
d24-byte-l-ext,100000,orth,0.950000,95,100,154
d24-byte-l-ext,100000,ins_char,1.000000,100,100,154
d24-byte-l-ext,100000,del_char,1.000000,100,100,154
d24-byte-l-ext,100000,sub_char,0.980000,98,100,154
d24-byte-l-ext,100000,swap_char,1.000000,100,100,154
d24-byte-l-early,50000,spell,1.000000,100,100,78
d24-byte-l-early,50000,spell_inverse,1.000000,100,100,78
d24-byte-l-early,50000,contains_char,0.530000,53,100,78
d24-byte-l-early,50000,orth,0.990000,99,100,78
d24-byte-l-early,50000,ins_char,1.000000,100,100,78
d24-byte-l-early,50000,del_char,1.000000,100,100,78
d24-byte-l-early,50000,sub_char,0.990000,99,100,78
d24-byte-l-early,50000,swap_char,1.000000,100,100,78
d24,30000,spell,0.120000,12,100,12
d24,30000,spell_inverse,0.110000,11,100,12
d24,30000,contains_char,0.560000,56,100,12
d24,30000,orth,0.480000,48,100,12
d24,30000,ins_char,0.170000,17,100,12
d24,30000,del_char,0.000000,0,100,12
d24,30000,sub_char,0.010000,1,100,12
d24,30000,swap_char,0.000000,0,100,12
d24,100000,spell,0.530000,53,100,40
d24,100000,spell_inverse,0.720000,72,100,40
d24,100000,contains_char,0.710000,71,100,40
d24,100000,orth,0.370000,37,100,40
d24,100000,ins_char,0.300000,30,100,40
d24,100000,del_char,0.220000,22,100,40
d24,100000,sub_char,0.170000,17,100,40
d24,100000,swap_char,0.070000,7,100,40
d24,50000,spell,0.450000,45,100,20
d24,50000,spell_inverse,0.330000,33,100,20
d24,50000,contains_char,0.530000,53,100,20
d24,50000,orth,0.420000,42,100,20
d24,50000,ins_char,0.180000,18,100,20
d24,50000,del_char,0.020000,2,100,20
d24,50000,sub_char,0.020000,2,100,20
d24,50000,swap_char,0.020000,2,100,20
d24-byte-l,50000,spell,1.000000,100,100,78
d24-byte-l,50000,spell_inverse,1.000000,100,100,78
d24-byte-l,50000,contains_char,0.480000,48,100,78
d24-byte-l,50000,orth,0.980000,98,100,78
d24-byte-l,50000,ins_char,1.000000,100,100,78
d24-byte-l,50000,del_char,1.000000,100,100,78
d24-byte-l,50000,sub_char,0.990000,99,100,78
d24-byte-l,50000,swap_char,1.000000,100,100,78
d24-byte-l-ext,50000,spell,1.000000,100,100,78
d24-byte-l-ext,50000,spell_inverse,1.000000,100,100,78
d24-byte-l-ext,50000,contains_char,0.480000,48,100,78
d24-byte-l-ext,50000,orth,0.900000,90,100,78
d24-byte-l-ext,50000,ins_char,1.000000,100,100,78
d24-byte-l-ext,50000,del_char,1.000000,100,100,78
d24-byte-l-ext,50000,sub_char,0.970000,97,100,78
d24-byte-l-ext,50000,swap_char,1.000000,100,100,78
d24,3000,spell,0.000000,0,100,2
d24,3000,spell_inverse,0.000000,0,100,2
d24,3000,contains_char,0.520000,52,100,2
d24,3000,orth,0.490000,49,100,2
d24,3000,ins_char,0.000000,0,100,2
d24,3000,del_char,0.000000,0,100,2
d24,3000,sub_char,0.030000,3,100,2
d24,3000,swap_char,0.000000,0,100,2
d24,10000,spell,0.000000,0,100,4
d24,10000,spell_inverse,0.000000,0,100,4
d24,10000,contains_char,0.520000,52,100,4
d24,10000,orth,0.490000,49,100,4
d24,10000,ins_char,0.000000,0,100,4
d24,10000,del_char,0.000000,0,100,4
d24,10000,sub_char,0.030000,3,100,4
d24,10000,swap_char,0.000000,0,100,4
